Symbol,Description
SHY,Treasury 1-3 yr
IEI,Treasury 3-7 yr
IEF,Treasury 7-10 yr
TLH,Treasury 10-20 yr
TLT,Treasury 20+ yr
MUB,Municipal
IGSB,Investment-Grade Corp 1-5 yr
LQD,Investment-Grade Corp
AGG,Investment-Grade US Aggregate
SHYG,Junk-Grade 0-5 yr
HYG,Junk-Grade
