Symbol,Description
SPY,SPDR S&P 500 ETF
DIA,SPDR Dow Jones Industrial Average ETF
QQQ,PowerShares NASDAQ Composite
SPYG,SPDR Portfolio S&P 500 Growth ETF
SPYV,SPDR Portfolio S&P 500 Value ETF
SPMD,SPDR Portfolio S&P 400 Mid Cap ETF
SPYD,SPDR Portfolio S&P 500 High Dividend ETF
